D001354	Avian Leukosis Virus	B04.613.807.070.100,B04.820.650.070.100	11864
D001355	Alpharetrovirus	B04.613.807.070,B04.820.650.070	153057
D001356	Reticuloendotheliosis virus	B04.613.807.375.700.700,B04.820.650.375.700.700	11636
D001358	Avian Sarcoma Viruses	B04.613.807.070.120,B04.820.650.070.120	11876
D001395	Azotobacter	B03.440.400.425.625.050,B03.660.250.580.022	352
D001403	Babesia	B01.043.075.600.580.070	5864
D001406	Bacillaceae	B03.300.390.400.158,B03.353.500.100,B03.510.100.100,B03.510.415.400.158,B03.510.460.410.158	186817
D001407	Bacillus	B03.300.390.400.158.218,B03.353.500.100.218,B03.510.100.100.218,B03.510.415.400.158.218,B03.510.460.410.158.218	1386
D001408	Bacillus anthracis	B03.300.390.400.158.218.151,B03.353.500.100.218.151,B03.510.100.100.218.151,B03.510.415.400.158.218.151,B03.510.460.410.158.218.151	1392
D001409	Bacillus cereus	B03.300.390.400.158.218.252,B03.353.500.100.218.252,B03.510.100.100.218.252,B03.510.415.400.158.218.252,B03.510.460.410.158.218.252	1396
D001410	Bacillus megaterium	B03.300.390.400.158.218.500,B03.353.500.100.218.500,B03.510.100.100.218.500,B03.510.415.400.158.218.500,B03.510.460.410.158.218.500	1404
D001411	Geobacillus stearothermophilus	B03.300.390.400.158.400.400,B03.353.500.100.400.400,B03.510.100.100.400.400,B03.510.415.400.158.400.400,B03.510.460.410.158.400.400	1422
D001412	Bacillus subtilis	B03.300.390.400.158.218.725,B03.353.500.100.218.725,B03.510.100.100.218.725,B03.510.415.400.158.218.725,B03.510.460.410.158.218.725	1423
D001413	Bacillus thuringiensis	B03.300.390.400.158.218.800,B03.353.500.100.218.800,B03.510.100.100.218.800,B03.510.415.400.158.218.800,B03.510.460.410.158.218.800	1428
D001419	Bacteria	B03	2
D001438	Bacteroidaceae	B03.440.080.094,B03.440.425.410.194	815
D001439	Bacteroides	B03.440.080.094.152,B03.440.425.410.194.152	816
D001441	Bacteroides fragilis	B03.440.080.094.152.400,B03.440.425.410.194.152.400	817
D001443	Prevotella melaninogenica	B03.440.080.094.640.500,B03.440.425.410.194.640.500	28132
D001448	Balantidium	B01.043.185.375.650.650.153	71584
D001467	Hordeum	B01.875.800.575.912.250.822.481	4512
D001468	Thoracica	B01.050.500.131.365.880	6676
D001473	Bartonella	B03.440.090.100,B03.660.050.030.040	773
D001475	Bartonellaceae	B03.440.090,B03.660.050.030	772
D001487	Basidiomycota	B01.300.179	5204
D001501	Bdellovibrio	B03.440.400.425.180,B03.660.125.050	958
D001503	Ursidae	B01.050.150.900.649.313.750.250.761	9632
D001511	Bedbugs	B01.050.500.131.617.412.420.150.100	30079
D001516	Bees	B01.050.500.131.617.720.500.500.875.387	34735
D001517	Coleoptera	B01.050.500.131.617.720.500.500.375	7041
D001532	Atropa belladonna	B01.875.800.575.912.250.908.500.049.222	33113
D001644	Bifidobacterium	B03.510.024.100,B03.510.460.400.400.049.100	1678
D001700	Biomphalaria	B01.050.500.644.400.750.185	6525
D001717	Birds	B01.050.150.900.248	8782
D001739	BK Virus	B04.280.210.700.615.100,B04.613.204.670.615.100	1891762
D001740	Black Widow Spider	B01.050.500.131.166.803.200	6924
D001754	Blastocladiella	B01.300.230.150	4807
D001758	Blastomyces	B01.300.381.125	229219
D001820	Bluetongue virus	B04.820.223.719.550.100	40051
